GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	ÖVP	FPÖ	GRÜNE	NEOS	PILZ	GILT	FLÖ	KPÖ	WEIßE	SLP	EUAUS	M	CPÖ	NBZ	ODP
10717	Parndorf	3190	2237	2213	24	793	430	789	58	45	69	23	0	5	1	0	0	0	0	0	0
10718	Podersdorf am See	1750	1315	1301	14	301	579	287	23	56	48	5	0	1	1	0	0	0	0	0	0
10719	Sankt Andrä am Zicksee	1150	928	917	11	271	373	226	6	22	12	3	1	3	0	0	0	0	0	0	0
10720	Tadten	1015	783	779	4	269	355	120	5	20	7	2	1	0	0	0	0	0	0	0	0
10721	Wallern im Burgenland	1451	1149	1129	20	413	348	302	17	21	16	8	2	2	0	0	0	0	0	0	0
10722	Weiden am See	1929	1508	1497	11	381	474	448	37	74	66	10	2	4	1	0	0	0	0	0	0
10723	Winden am See	1087	814	810	4	321	211	207	19	17	27	5	0	3	0	0	0	0	0	0	0
10724	Zurndorf	1688	1364	1355	9	483	300	451	22	44	43	3	4	4	1	0	0	0	0	0	0
10725	Neudorf	576	435	427	8	119	166	108	3	14	10	5	1	1	0	0	0	0	0	0	0
10726	Potzneusiedl	425	339	336	3	121	62	132	10	5	6	0	0	0	0	0	0	0	0	0	0
10727	Edelstal	492	378	376	2	103	153	99	4	5	11	0	0	1	0	0	0	0	0	0	0
10799	Wahlkarten - Neusiedl am See	0	3499	3476	23	1058	1163	718	143	158	178	24	7	21	6	0	0	0	0	0	0
10800	Oberpullendorf	30965	26456	26180	276	9214	9345	5655	454	573	591	162	77	80	29	0	0	0	0	0	0
10801	Deutschkreutz	2549	1892	1876	16	543	785	401	17	47	36	10	33	3	1	0	0	0	0	0	0
10802	Draßmarkt	1168	929	921	8	302	393	150	23	25	14	9	1	4	0	0	0	0	0	0	0
10803	Frankenau-Unterpullendorf	957	700	695	5	214	314	100	24	18	18	3	1	2	1	0	0	0	0	0	0
10804	Großwarasdorf	1158	883	875	8	267	389	150	25	17	16	2	0	6	3	0	0	0	0	0	0
10805	Horitschon	1509	1209	1198	11	375	478	284	13	22	20	2	0	4	0	0	0	0	0	0	0
10806	Kaisersdorf	488	400	398	2	179	83	101	5	8	17	1	3	1	0	0	0	0	0	0	0
10807	Kobersdorf	1555	1247	1237	10	525	324	325	19	19	12	8	1	2	2	0	0	0	0	0	0
10808	Lackenbach	940	665	656	9	241	207	169	6	15	5	7	2	2	2	0	0	0	0	0	0
10809	Lockenhaus	1654	1238	1226	12	376	446	311	23	26	30	7	2	1	4	0	0	0	0	0	0
10810	Lutzmannsburg	706	559	553	6	163	214	144	6	13	6	2	1	2	2	0	0	0	0	0	0
10811	Mannersdorf an der Rabnitz	1503	1194	1178	16	418	367	331	9	18	21	10	0	3	1	0	0	0	0	0	0
10812	Markt Sankt Martin	993	808	800	8	312	267	158	18	12	17	11	0	5	0	0	0	0	0	0	0
10813	Neckenmarkt	1391	1141	1124	17	369	458	239	14	22	20	1	1	0	0	0	0	0	0	0	0
10814	Neutal	884	752	739	13	414	163	127	3	7	17	2	2	4	0	0	0	0	0	0	0
10815	Nikitsch	1174	907	896	11	274	413	142	17	17	20	5	1	7	0	0	0	0	0	0	0
10816	Oberpullendorf	2510	1610	1595	15	464	587	377	46	53	53	3	4	6	2	0	0	0	0	0	0
10817	Pilgersdorf	1408	1083	1073	10	273	539	209	9	17	21	4	0	0	1	0	0	0	0	0	0
10818	Piringsdorf	710	582	569	13	228	195	106	7	16	15	2	0	0	0	0	0	0	0	0	0
10819	Raiding	721	511	508	3	218	177	96	1	4	7	3	1	1	0	0	0	0	0	0	0
10820	Ritzing	737	577	572	5	215	156	147	9	12	26	2	1	4	0	0	0	0	0	0	0
10821	Steinberg-Dörfl	1063	837	832	5	281	303	181	12	32	19	4	0	0	0	0	0	0	0	0	0
10822	Stoob	1156	916	900	16	378	266	203	15	18	13	5	1	0	1	0	0	0	0	0	0
10823	Weppersdorf	1503	1180	1170	10	546	222	324	17	21	18	14	1	4	3	0	0	0	0	0	0
10824	Lackendorf	503	392	389	3	160	108	98	2	6	9	5	1	0	0	0	0	0	0	0	0
10825	Unterfrauenhaid	537	412	409	3	146	146	97	4	6	8	2	0	0	0	0	0	0	0	0	0
10826	Unterrabnitz-Schwendgraben	527	426	425	1	117	200	90	9	6	1	2	0	0	0	0	0	0	0	0	0
10827	Weingraben	284	232	229	3	100	73	40	3	4	6	1	0	2	0	0	0	0	0	0	0
10828	Oberloisdorf	677	536	524	12	196	174	123	7	8	10	4	1	1	0	0	0	0	0	0	0
10899	Wahlkarten - Oberpullendorf	0	2638	2613	25	920	898	432	91	84	116	31	19	16	6	0	0	0	0	0	0
10900	Oberwart	43420	35865	35497	368	11785	10757	10164	622	909	861	207	41	119	32	0	0	0	0	0	0
10901	Bad Tatzmannsdorf	1240	889	880	9	236	337	236	10	28	28	3	1	0	1	0	0	0	0	0	0
10902	Bernstein	1805	1325	1311	14	536	359	351	17	16	16	12	1	2	1	0	0	0	0	0	0
10903	Deutsch Schützen-Eisenberg	969	782	772	10	123	352	248	6	13	19	5	1	1	4	0	0	0	0	0	0
10904	Grafenschachen	1045	844	829	15	388	175	240	6	8	9	2	0	1	0	0	0	0	0	0	0
10905	Großpetersdorf	2893	2049	2026	23	804	583	507	33	43	43	7	0	3	3	0	0	0	0	0	0
10906	Hannersdorf	659	510	505	5	190	180	115	6	8	5	0	0	1	0	0	0	0	0	0	0
10907	Kemeten	1236	926	921	5	311	186	362	16	16	24	1	0	5	0	0	0	0	0	0	0
10908	Kohfidisch	1218	971	962	9	323	311	269	8	16	16	11	2	3	3	0	0	0	0	0	0
10909	Litzelsdorf	957	735	730	5	225	188	266	21	5	17	2	2	3	1	0	0	0	0	0	0
10910	Loipersdorf-Kitzladen	1042	839	834	5	315	240	249	8	8	9	3	0	2	0	0	0	0	0	0	0
10911	Mariasdorf	967	754	742	12	238	202	245	10	18	24	2	2	0	1	0	0	0	0	0	0
10912	Markt Allhau	1496	1173	1162	11	327	377	336	21	48	39	9	0	4	1	0	0	0	0	0	0
10913	Markt Neuhodis	560	445	442	3	182	144	96	2	6	11	1	0	0	0	0	0	0	0	0	0
