NUTS1;NUTS2;NUTS3;LAU2_CODE_2016;LAU2_CODE_2017;LAU2_NAME
AT1;AT12;AT122;32323;32323;Pernitz
AT1;AT12;AT122;32324;32324;Rohr im Gebirge
AT1;AT12;AT122;32325;32325;Bromberg
AT1;AT12;AT122;32326;32326;Schwarzenbach
AT1;AT12;AT122;32327;32327;Sollenau
AT1;AT12;AT122;32330;32330;Theresienfeld
AT1;AT12;AT122;32331;32331;Waidmannsfeld
AT1;AT12;AT122;32332;32332;Waldegg
AT1;AT12;AT122;32333;32333;Walpersbach
AT1;AT12;AT122;32334;32334;Weikersdorf am Steinfelde
AT1;AT12;AT122;32335;32335;Wiesmath
AT1;AT12;AT122;32336;32336;Winzendorf-Muthmannsdorf
AT1;AT12;AT122;32337;32337;Wöllersdorf-Steinabrückl
AT1;AT12;AT122;32338;32338;Zillingdorf
AT1;AT12;AT127;32401;30729;Ebergassing
AT1;AT12;AT127;32402;30730;Fischamend
AT1;AT12;AT126;32403;31949;Gablitz
AT1;AT12;AT126;32404;31235;Gerasdorf bei Wien
AT1;AT12;AT127;32405;30731;Gramatneusiedl
AT1;AT12;AT127;32406;30732;Himberg
AT1;AT12;AT127;32407;30733;Klein-Neusiedl
AT1;AT12;AT126;32408;32144;Klosterneuburg
AT1;AT12;AT127;32409;30734;Lanzendorf
AT1;AT12;AT127;32410;30735;Leopoldsdorf
AT1;AT12;AT127;32411;30736;Maria-Lanzendorf
AT1;AT12;AT126;32412;31950;Mauerbach
AT1;AT12;AT127;32413;30737;Moosbrunn
AT1;AT12;AT126;32415;31951;Pressbaum
AT1;AT12;AT126;32416;31952;Purkersdorf
AT1;AT12;AT127;32417;30738;Rauchenwarth
AT1;AT12;AT127;32418;30739;Schwadorf
AT1;AT12;AT127;32419;30740;Schwechat
AT1;AT12;AT126;32421;31953;Tullnerbach
AT1;AT12;AT126;32423;31954;Wolfsgraben
AT1;AT12;AT127;32424;30741;Zwölfaxing
AT1;AT12;AT124;32501;32501;Allentsteig
AT1;AT12;AT124;32502;32502;Arbesbach
AT1;AT12;AT124;32503;32503;Bärnkopf
AT1;AT12;AT124;32504;32504;Echsenbach
AT1;AT12;AT124;32505;32505;Göpfritz an der Wild
AT1;AT12;AT124;32506;32506;Grafenschlag
AT1;AT12;AT124;32508;32508;Groß Gerungs
AT1;AT12;AT124;32509;32509;Großgöttfritz
AT1;AT12;AT124;32511;32511;Gutenbrunn
AT1;AT12;AT124;32514;32514;Kirchschlag
AT1;AT12;AT124;32515;32515;Kottes-Purk
AT1;AT12;AT124;32516;32516;Langschlag
AT1;AT12;AT124;32517;32517;Martinsberg
AT1;AT12;AT124;32518;32518;Ottenschlag
AT1;AT12;AT124;32519;32519;Altmelon
AT1;AT12;AT124;32520;32520;Pölla
AT1;AT12;AT124;32521;32521;Rappottenstein
AT1;AT12;AT124;32522;32522;Sallingberg
AT1;AT12;AT124;32523;32523;Schönbach
AT1;AT12;AT124;32524;32524;Schwarzenau
AT1;AT12;AT124;32525;32525;Schweiggers
AT1;AT12;AT124;32528;32528;Bad Traunstein
AT1;AT12;AT124;32529;32529;Waldhausen
AT1;AT12;AT124;32530;32530;Zwettl-Niederösterreich
