X;Y;MEAN_X;MEAN_Y;GKZ
13.526755082563;48.4132310816855;414374.445872084528673;501587.122325777192600;"41426"
13.423779644507;48.4056639163857;406753.972932602337096;500732.190987300768029;"41425"
13.6040501019264;48.3953263997668;420102.056682746973820;499613.464538743894082;"41424"
13.6127808515264;48.3176955142467;420779.189346305327490;490985.356832529243547;"41430"
13.454321064993;48.5078421135152;408997.453875505190808;512095.103402532869950;"41429"
13.8165591062599;48.434535298542;435808.610952544200700;504048.220586135459598;"41428"
11.4036659217916;47.2772338073798;254114.850327097432455;377116.331359475967474;"70101"
16.2433661512999;47.4820082607724;619258.472550121950917;402155.300985431647860;"32302"
16.1616087384011;47.8323497891198;611687.072903883643448;440841.880979626323096;"32301"
16.2370504129375;47.8803807461736;617130.262467362568714;446384.937956307781860;"32307"
16.2034695875077;47.7198947121431;615279.111049867002293;428465.720953941403423;"32306"
16.2998106111963;47.8612091022015;621901.038567015202716;444432.554705021437258;"32305"
16.3445560289351;47.8850112995163;625143.199726212187670;447204.854542135028169;"32304"
16.0607511052545;47.8246088707244;604173.548666983959265;439712.464628458837979;"32311"
16.2923660222188;47.6726745790508;622141.649369323509745;423470.891468739078846;"32310"
16.1887599198405;47.4482542105981;615284.727675889735110;398253.847378937760368;"32309"
15.8516919878901;47.8587180725679;588410.772297101793811;442974.215057302208152;"32308"
16.1905214736873;47.5100319916985;615165.273973489180207;405120.275593638594728;"32315"
16.2856918608155;47.5113475496215;622321.455591303179972;405533.982417919731233;"32314"
16.2736022984276;47.7729917807158;620312.620159966172650;434559.651540976541582;"32313"
14.0193570882693;48.3080215722866;450935.195668343862053;490096.159346519329119;"40503"
16.2646033700333;47.5846489037936;620427.603441548184492;413615.197735990223009;"32312"
14.0068648150388;48.3886611241057;449931.382570959802251;499052.630316327558830;"40502"
16.1095676956517;47.8621689310243;607676.406959319720045;444013.942982762469910;"32319"
14.1031712365361;48.2787919338697;457182.884518093953375;486904.879224057076499;"40501"
16.307300009978;47.821480006674;622629.666799866477959;440041.196180133556481;"32318"
16.2115132005101;47.5844339553324;616439.025433559319936;413442.261041019868571;"32317"
13.9855423439066;48.3023209094469;448432.792419890698511;489440.932298329134937;"40507"
16.2493730778155;47.741340549893;618630.326179772731848;430975.766326918906998;"32316"
13.9808480804484;48.3719547804436;448020.393318612710573;497179.079938010079786;"40506"
15.9805016053009;47.9030643785761;597873.399001238984056;448220.480845032667276;"32323"
13.908106018269;48.413000465352;442598.873909897054546;501699.998066367174033;"40505"
15.914289132591;47.92807397635;592835.120464441017248;450832.602242312685121;"32322"
14.0215378939865;48.2837911230072;451120.685297673393507;487403.996164931275416;"40504"
15.9780684160766;47.8418653518489;597922.886914903065190;441415.761554491415154;"32321"
14.0058091328205;48.2544445290901;449981.815206945175305;484131.524061695032287;"40511"
16.1952938029375;47.8892744313873;613973.712748043122701;447257.131111587863415;"32320"
13.934195748821;48.2660953206662;444655.492770648561418;485383.309993667236995;"40510"
16.2471696060209;47.9029345939345;617792.492403384065256;448918.415684846229851;"32327"
